Points_Id,Lat,Lon
1112,32.6038896400000,35.4449550100000
2,31.2826057200000,34.9173597200000
3,31.1786421100000,35.0737686800000
4,31.8073974700000,35.1085155000000
5,31.7700930000000,35.2573167500000
6,31.2746359000000,34.8803580900000
7,32.9623066700000,35.1714381900000
8,32.9575743400000,35.1798692400000
9,31.3043868300000,34.8449357500000
10,31.2144876500000,35.0842629700000
11,31.2306688600000,35.0632168000000
12,32.7630128100000,35.1116584600000
13,32.8369253600000,35.3509874800000
14,32.5324974800000,34.9928017100000
15,33.0885703300000,35.4719232200000
16,31.7078048700000,34.7433512700000
3293,31.3927918400000,35.1374978800000
17,32.3505121900000,34.8708691500000
18,32.5570491200000,35.3069994300000
19,31.6815576500000,35.0159883900000
20,33.0383412900000,35.2870008000000
21,32.2703193500000,34.8840567600000
22,32.2821200900000,34.8937082600000
23,33.0742251600000,35.2942981300000
24,31.7626956900000,35.1340064000000
25,31.5752717600000,34.7641545000000
26,32.8236269000000,35.7656942800000
27,32.2863487000000,35.0750803700000
28,31.6790378500000,35.4371753200000
29,31.1926900500000,34.3332060200000
30,31.5525115800000,35.0181333900000
31,32.5490169400000,35.2726873100000
32,33.0795607600000,35.2060397900000
33,31.6600521800000,34.9948499800000
34,32.2654549600000,34.8494434600000
35,33.1945534900000,35.7489744300000
36,31.2374483700000,34.4315750800000
3222,31.8059748100000,35.0923688900000
37,32.5245607000000,35.1507498100000
38,32.4694369800000,35.0546104200000
39,32.5635961000000,35.2428500800000
40,32.3693573400000,34.9930601500000
41,31.3113122900000,34.6101409700000
42,31.3169737200000,34.6170435000000
43,31.3109460800000,34.6187226100000
44,31.3125811200000,34.6238776900000
45,31.3176310300000,34.6280322300000
46,31.3060592700000,34.6300290000000
47,31.2993741200000,34.6211165800000
3194,31.3174173600000,34.6369660800000
3301,31.3028819000000,34.6383493200000
3319,31.3058670700000,34.6548658600000
48,33.0043891700000,35.4460921000000
49,31.5573452600000,34.6009404400000
50,32.0249886300000,34.8693344300000
51,32.0322378000000,34.8646065000000
52,32.0306764800000,34.8633830000000
53,32.0270860800000,34.8635943000000
54,32.0245369200000,34.8621596500000
55,32.0216232300000,34.8599144700000
56,32.0244685100000,34.8567694500000
57,32.0246558400000,34.8521096300000
58,32.0286193300000,34.8572841700000
59,32.0326724600000,34.8571506300000
60,32.0336832200000,34.8506546500000
61,32.0303746400000,34.8461807700000
62,32.0346844000000,34.8410465000000
3283,32.0374474100000,34.8573767600000
63,32.5178798300000,34.9163613500000
64,32.5122550600000,34.9169591300000
65,32.5087307900000,34.9195785900000
66,32.4989156600000,34.9258647500000
67,32.4973489700000,34.9200040700000
68,32.5055970600000,34.9264294200000
69,32.5202096600000,34.9215840300000
3149,32.5172650900000,34.9270559400000
70,31.7535133300000,35.1528451400000
3308,30.9126892600000,35.0161436500000
71,31.7431592500000,34.7373347500000
72,33.0876093400000,35.7593000700000
73,31.3044944100000,34.5228505400000
74,32.7125428100000,35.1078269200000
75,32.1295295000000,34.9950845900000
76,32.7964098900000,35.1144068400000
77,32.0281597300000,34.8019926500000
78,32.0234048600000,34.8085762400000
79,32.0170110500000,34.8150410200000
80,32.0317597900000,34.7949744100000
3307,33.0102865800000,35.2461450800000
85,31.3723955500000,35.0057001900000
3245,31.3077523100000,34.9114504600000
3226,32.5421323200000,35.5029499800000
81,33.0672109700000,35.1086697200000
82,32.6351734900000,35.3627667700000
83,31.8180700100000,35.3428320000000
84,32.8024577600000,35.7155993100000
3257,31.6647131200000,34.7807929100000
3191,32.7586786600000,35.0973568600000
3252,32.5695962100000,35.2665935200000
86,31.4139672600000,34.6150304100000
3190,32.3094072200000,35.0140909200000
87,32.8806007500000,35.0915743200000
88,30.5955386500000,35.1872290300000
3192,31.7869511500000,34.8195723400000
90,32.6552525200000,35.2386012500000
91,31.8654704700000,35.2616710700000
92,32.3118545000000,34.9606093000000
93,31.7436807200000,34.7686791800000
94,31.5533469100000,34.7707252700000
95,32.6431712100000,35.3381946500000
96,32.9058148300000,35.1759354100000
97,32.3887876000000,34.9889528000000
98,31.9354992000000,34.9072883700000
99,31.9833057200000,34.8700406200000
100,31.5334974100000,34.6100997500000
101,32.2115130900000,34.9788897000000
102,33.0222847200000,35.5783473700000
103,33.0646639300000,35.2170373700000
104,29.5795503600000,34.9622365000000
105,32.7564524800000,35.4056881400000
106,29.5529559500000,34.9617607500000
107,29.5559565200000,34.9526817900000
108,29.5668601400000,34.9592395900000
109,29.5664508100000,34.9534034800000
110,29.5637396100000,34.9482071200000
111,29.5571814800000,34.9489195800000
112,29.5605370100000,34.9446581900000
113,29.5641608400000,34.9407585500000
114,29.5604578700000,34.9360201700000
115,29.5561311100000,34.9350198700000
116,29.5573465100000,34.9426580300000
117,29.5519395400000,34.9467807000000
118,29.5509819700000,34.9407125700000
119,29.5509857300000,34.9316102400000
120,29.5462544300000,34.9385701700000
121,29.5475560400000,34.9299558800000
122,29.5400947300000,34.9330895000000
123,29.5971569100000,34.9717579700000
124,29.5165297500000,34.9238548200000
3131,31.9282074000000,34.7762723100000
125,32.1618075100000,35.3387830000000
126,31.5723393100000,34.7478367000000
127,31.7787923100000,35.0957854800000
128,32.6805533100000,35.3268370900000
129,32.6764439200000,35.3125667900000
130,31.2560663400000,34.9584650000000
131,31.3144339900000,34.8530094200000
132,31.7189373900000,34.8067444600000
133,32.4983238800000,35.1252100600000
134,33.1795234800000,35.7711932900000
135,31.6512750300000,34.7435409500000
136,32.7079601100000,35.5464680200000
137,31.8325966700000,35.3544545100000
